ITEM,SUPPLIER,COUNT, UNIT COST ,ROW COST,LOW BUDGET USE,HIGH BUDGET USE
nice!nano v2,typeractive.xyz,1,$25.00 ,$25.00 ,17%,7%
nice!view,typeractive.xyz,1,$20.00 ,$20.00 ,13%,6%
PCB,JLCPCB,1,$12.00 ,$12.00 ,8%,3%
PCB Shipping,JLCPCB,1,$25.00 ,$25.00 ,17%,7%
Kailh Hotswap Sockets,typeractive.xyz,60,$0.15 ,$9.00 ,6%,3%
Battery Jack,typeractive.xyz,2,$0.50 ,$1.00 ,1%,0%
1.5u Keycap,typeractive.xyz,4,$0.50 ,$2.00 ,1%,1%
Homing Keycap,typeractive.xyz,2,$0.50 ,$1.00 ,1%,0%
Keycap,typeractive.xyz,50,$0.40 ,$20.00 ,13%,6%
Choc Switches,typeractive.xyz,60,$0.55 ,$33.00 ,22%,9%
Diodes,typeractive.xyz,60,$0.08 ,$4.50 ,3%,1%
Power Switch,typeractive.xyz,2,$0.75 ,$1.50 ,1%,0%
Sockets and Pins,typeractive.xyz,2,$6.50 ,$13.00 ,9%,4%
Encoder,aliexpress,2,$1.10 ,$2.20 ,1%,1%
